,COD_Ateneo,COMUNE,Classe dimensione,Indirizzo,NomeEsteso,NomeOperativo,PROVINCIA,REGIONE,Statale/NonStataleLibera,Tipologia_ateneo_descrizione,URL,Zona Geografica,_id,status,Score_2016,Score_2017,Score_2018,Score_2019,Score_2020,Score_2021
10,1505,MILANO,inferiore a 10.000,"Via Carlo Bo, 1",Libera Università di Lingue e Comunicazione (IULM),Milano IULM,MILANO,LOMBARDIA,Non Statale,Università,www.iulm.it,NORD-OVEST,15,Attivo    ,4.5,4.6,4.6,4.4,4.5,4.9
11,1508,MILANO,inferiore a 10.000,"Via Olgettina, 58",Libera Università Vita-Salute San Raffaele di Milano,Milano San Raffaele,MILANO,LOMBARDIA,Non Statale,Università,www.unisr.it,NORD-OVEST,18,Attivo    ,5.1,5.3,6.1,6.4,5.9,7.1
12,1509,MILANO,da 30.000 a 59.999,"Piazza dell' Ateneo Nuovo, 1",Università degli Studi di Milano - Bicocca,Milano Bicocca,MILANO,LOMBARDIA,Statale   ,Università,www.unimib.it,NORD-OVEST,19,Attivo    ,3.9,3.9,4.1,4.3,4.2,4.3
13,1510,ROZZANO,inferiore a 10.000,"Via A. Manzoni, 113",Humanitas University,Rozzano (MI) Humanitas University,MILANO,LOMBARDIA,Non Statale,Università,https://www.hunimed.eu/,NORD-OVEST,20,Attivo    ,7.8,7.6,10.7,12.2,9.7,10.8
14,1601,BERGAMO,da 20.000 a 29.999,"Via Salvecchio, 19",Università degli Studi di Bergamo,Bergamo,BERGAMO,LOMBARDIA,Statale   ,Università,www.unibg.it,NORD-OVEST,21,Attivo    ,3.7,3.8,3.9,4.2,3.9,4.1
15,1701,BRESCIA,da 10.000 a 19.999,"Piazza del Mercato, 15",Università degli Studi di Brescia,Brescia,BRESCIA,LOMBARDIA,Statale   ,Università,www.unibs.it,NORD-OVEST,22,Attivo    ,3.6,4.0,4.0,4.1,3.6,4.6
16,1801,PAVIA,da 20.000 a 29.999,"Corso Strada Nuova, 65",Università degli Studi di Pavia,Pavia,PAVIA,LOMBARDIA,Statale   ,Università,www.unipv.it,NORD-OVEST,23,Attivo    ,4.8,4.9,4.7,4.9,4.9,5.7
17,1802,PAVIA,,Palazzo del Broletto – P.zza della Vittoria,Istituto universitario di studi superiori di Pavia,Pavia IUSS,PAVIA,LOMBARDIA,Statale   ,Scuola Superiore ad Ordinamento Speciale,www.iusspavia.it,NORD-OVEST,24,Attivo    ,,,,,,
18,201,VERCELLI,da 10.000 a 19.999,"Via Duomo, 6","Università degli studi del Piemonte orientale ""Amedeo Avogadro""",Piemonte Orientale,VERCELLI,PIEMONTE,Statale   ,Università,www.uniupo.it,NORD-OVEST,4,Attivo    ,3.5,3.3,3.6,4.2,3.4,4.7
19,2101,BOLZANO - BOZEN,inferiore a 10.000,Piazza Università 1,Libera Università di Bolzano,Bolzano,BOLZANO,Provincia autonoma di Bolzano,Non Statale,Università,www.unibz.it,NORD-EST,25,Attivo    ,5.4,5.4,5.4,5.0,5.0,5.5
20,2201,TRENTO,da 10.000 a 19.999,"Via Calepina, 14",Università degli Studi di Trento,Trento,TRENTO,Provincia autonoma di TRENTO,Statale   ,Università,www.unitn.it,NORD-EST,26,Attivo    ,4.5,4.6,4.7,4.5,4.3,5.1
21,2301,VERONA,da 20.000 a 29.999,"Via dell'Artigliere, 8 Pal. Giuliari",Università degli Studi di Verona,Verona,VERONA,VENETO,Statale   ,Università,www.univr.it,NORD-EST,27,Attivo    ,3.7,4.3,4.4,4.7,4.1,4.3
22,2701,VENEZIA,da 20.000 a 29.999,"Sestiere di Dorsoduro, 3246 Ca' Foscari",Università degli studi Ca' Foscari di Venezia,Venezia Cà Foscari,VENEZIA,VENETO,Statale   ,Università,www.unive.it,NORD-EST,28,Attivo    ,6.3,6.6,6.8,6.7,6.3,6.7
23,2702,VENEZIA,inferiore a 10.000,"Sestiere di Santa Croce, 191 Tolentini",Università Iuav di Venezia,Venezia Iuav,VENEZIA,VENETO,Statale   ,Università,www.iuav.it,NORD-EST,29,Attivo    ,6.1,6.3,7.1,6.7,6.0,5.9
24,2801,PADOVA,60.000 e oltre,"Via 8 Febbraio, 2",Università degli Studi di Padova,Padova,PADOVA,VENETO,Statale   ,Università,www.unipd.it,NORD-EST,30,Attivo    ,3.9,4.2,4.3,4.5,4.3,7.0
25,3001,UDINE,da 10.000 a 19.999,"Via Palladio, 8",Università degli Studi di Udine,Udine,UDINE,FRIULI VENEZIA GIULIA,Statale   ,Università,www.uniud.it,NORD-EST,31,Attivo    ,4.2,4.1,4.1,4.1,3.9,3.8
26,3201,TRIESTE,da 10.000 a 19.999,"Piazzale Europa, 1",Università degli Studi di Trieste,Trieste,TRIESTE,FRIULI VENEZIA GIULIA,Statale   ,Università,www.units.it,NORD-EST,32,Attivo    ,4.2,4.1,4.2,3.8,3.6,3.6
27,3202,TRIESTE,,"Via Bonomea, 265",Scuola Internazionale Superiore di Studi Avanzati di Trieste,Trieste SISSA,TRIESTE,FRIULI VENEZIA GIULIA,Statale   ,Scuola Superiore ad Ordinamento Speciale,www.sissa.it,NORD-EST,33,Attivo    ,,,,,,
28,3401,PARMA,da 20.000 a 29.999,"Via Universita', 12",Università degli Studi di Parma,Parma,PARMA,EMILIA ROMAGNA,Statale   ,Università,www.unipr.it,NORD-EST,34,Attivo    ,5.6,6.7,7.7,8.2,6.7,5.2
29,3601,MODENA,da 20.000 a 29.999,"Via Universita', 4",Università degli Studi di Modena e Reggio Emilia,Modena e Reggio Emilia,MODENA,EMILIA ROMAGNA,Statale   ,Università,www.unimore.it,NORD-EST,35,Attivo    ,4.1,3.6,4.2,4.2,3.6,4.0
